genre,game,commented_date,comment,release_period
Puzzle,It Takes Two,2019-05-21,"just watched this movie again in netflix, still awesome!",Before
Puzzle,It Takes Two,2021-02-25,the only company that makes aaa split screen coop games!,Before
Puzzle,It Takes Two,2021-02-25,something unique and straight from the out of the box...,Before
Puzzle,It Takes Two,2021-03-23,that jumpground pound combo really gives me mario vibes.,Before
Puzzle,It Takes Two,2021-03-23,the 87 dislikes are the people at ea that could not play,Before
Puzzle,It Takes Two,2021-03-23,ea be like '' you need to pay us for us to sponsor you'',Before
Puzzle,It Takes Two,2021-03-23,congrats to everyone who is early and found this comment,Before
Puzzle,It Takes Two,2021-02-22,this screams creativity and passion. looks amazingly fun.,Before
Puzzle,It Takes Two,2019-03-16,i am 46 ... had to come back here in 2019  good old times,Before
Puzzle,It Takes Two,2020-12-11,this was the highlight of tga for me in terms of reveals.,Before
Puzzle,It Takes Two,2019-07-08,it takes two or parent trap..?? medefinitely it takes two,Before
Puzzle,It Takes Two,2021-03-25,hollow already knows ima cry  swear every video im crying,Before
Puzzle,It Takes Two,2021-03-23,me this game look cool i wanna play game error no friends,Before
Puzzle,It Takes Two,2021-03-23,i can already feel 100 trolling vids coming for youtubers,Before
Puzzle,It Takes Two,2021-03-23,coop like never before has anyone ever heard of a way out,Before
Puzzle,It Takes Two,2019-01-06,back when i recorded music on cassette tapes off the radio,Before
Puzzle,It Takes Two,2021-03-25,this game makes you feel like you're going to be divorced.,Before
Puzzle,It Takes Two,2021-03-25,legend says hollow is still choosing either the dad or mom,Before
Puzzle,It Takes Two,2021-03-25,"i knew it was gonna be good after a way out, amazing game.",Before
Puzzle,It Takes Two,2021-03-25,"going to play this over the weekend with my gf, cant wait!",Before
Puzzle,It Takes Two,2021-03-24,this is the type of game i will spend my money for ea games,Before
Puzzle,It Takes Two,2019-03-06,my 1988 senior prom. we rocked the hell out of this joint!!,Before
Puzzle,It Takes Two,2018-06-02,one of the best rap song in the late 80's....rip dj ez rock,Before
Puzzle,It Takes Two,2021-03-25,last time i was this early hollow had just finished crying.,Before
Puzzle,It Takes Two,2021-03-23,ok can we admire that sundee hasn't shot a single bull'seye,Before
Puzzle,It Takes Two,2018-09-19,how could this have been 30 yrs ago!!! how did i get old....,Before
Puzzle,It Takes Two,2018-02-03,my childhood has been relived after watching this trailer!!!,Before
Puzzle,It Takes Two,2021-02-23,this game looks stellar. can't wait to play it with my wife.,Before
Puzzle,It Takes Two,2021-03-23,fun fact the person who's first has some high speed wifi....,Before
Puzzle,It Takes Two,2020-12-11,"best trailer of the show, much love to the team at hazelight.",Before
Puzzle,It Takes Two,2019-09-18,a classic. im in love. marykate and ashley are so tiny there.,Before
Puzzle,It Takes Two,2021-03-23,the director made a joke i nailed it. it was funny in my head,Before
Puzzle,It Takes Two,2021-02-23,"game looks cool, now here comes the hardest part find a friend",Before
Puzzle,It Takes Two,2021-03-25,videogamedunkey is gonna love this game....i am calling it now,Before
Puzzle,It Takes Two,2021-03-25,i love hollow playing with friends makes it more entertaining.,Before
Puzzle,It Takes Two,2021-02-24,two boys playing this game together and nothing go wrong boi!!,Before
Puzzle,It Takes Two,2021-02-23,i feel bad for the parents that have to stay together hahahaha,Before
Puzzle,It Takes Two,2021-03-23,you can tell that hes proud of his game and i love it so much.,Before
Puzzle,It Takes Two,2021-03-23,i love how ssundee ignored him every time he complimented him.,Before
Puzzle,It Takes Two,2021-03-23,pov the dislikes our kids thinking it was going to be among us,Before
Puzzle,It Takes Two,2020-12-11,i love that hazelight is reviving highquality couchcoop games!!,Before
Puzzle,It Takes Two,2019-08-09,this definitely reminds me of parent trap even though its older,Before
Puzzle,It Takes Two,2021-03-25,the most interesting form of relationship therapy ive ever seen,Before
Puzzle,It Takes Two,2021-03-08,this game is looking like the best work from josef fares so far,Before
Puzzle,It Takes Two,2021-02-23,i wish this was created five years ago. when i had a girlfriend,Before
Puzzle,It Takes Two,2021-02-23,i love how straight is josef with his games. not collectible sh,Before
Puzzle,It Takes Two,2021-03-06,sony in 2021 be like lets bring split fookin screen screen back,Before
Puzzle,It Takes Two,2021-03-05,"this looks like a game that wants you to play it, how beautiful",Before
Puzzle,It Takes Two,2021-03-23,developer it's like almost a 14 hour game speedrunners haha no.,Before
Puzzle,It Takes Two,2021-02-28,video starts this is josef fares... me shut up and take my money,Before
Puzzle,It Takes Two,2021-03-25,the comments really make you feel like this joke is getting old.,Before
Puzzle,It Takes Two,2021-03-25,only will play it if it takes 5. i want to play with my 4 wives.,Before
Puzzle,It Takes Two,2018-02-01,"why isnt this more popular, this is the first parent trap remake",Before
Puzzle,It Takes Two,2021-02-27,husband  wife  lets take an acid trip before officially divorced,Before
Puzzle,It Takes Two,2021-03-23,i'm addicted to this game proceeds to make more among us content,Before
Puzzle,It Takes Two,2021-03-23,fun fact the person who's first haven't watched the whole video.,Before
Puzzle,It Takes Two,2021-03-25,i nearly cried of laughter when you both died at the same time xd,Before
Puzzle,It Takes Two,2021-03-08,we will absolutely be playing this on our channel! super excited!,Before
Puzzle,It Takes Two,2021-03-23,"this game actually looks kind of lit, too bad i dont have friends",Before
Puzzle,It Takes Two,2021-03-23,i'm addicted to this game i thought you were addicted to among us,Before
Puzzle,It Takes Two,2021-03-23,can we get a series on this with ian and biffle or ian and sigils,Before
Puzzle,It Takes Two,2020-12-11,"this looks amazing. a way out was a blast, this looks even better!",Before
Puzzle,It Takes Two,2021-03-25,yea give me 10 hours of goodness instead of 20 hours or mediocrity,Before
Puzzle,It Takes Two,2021-03-22,fleetwood mac brought me here to be honest but the game looks cool,Before
Puzzle,It Takes Two,2021-03-03,i hope this and sackboy bring about a new age of couch co op games,Before
Puzzle,It Takes Two,2021-03-23,ea was probably like you gotta pay 25 for the sponsor conformation,Before
Puzzle,It Takes Two,2021-03-24,ea was probably like you gotta pay 25 for the sponsor confirmation,Before
Puzzle,It Takes Two,2021-03-23,congrats to everyone who is not early and is tired of bot comments,Before
Puzzle,It Takes Two,2021-03-23,"you have to pay 25 for the sponsor conformation, ea probably said.",Before
Puzzle,It Takes Two,2020-12-12,this looks like a game i'd play with my girlfriend... if i had one.,Before
Puzzle,It Takes Two,2020-12-11,making coop games alive again thank you hazel light and josef fares,Before
Puzzle,It Takes Two,2021-02-23,instant buy since it's a split screen coop. and i like josef farez.,Before
Puzzle,It Takes Two,2021-03-25,dude in the right was compulsive had be laughing lol no haste matey,Before
Puzzle,It Takes Two,2021-03-23,"hey ian, put this nail in a light socket, its fun! my favorite line",Before
Puzzle,It Takes Two,2021-03-23,i was really shocked when i saw that this video was free to watch!!,Before
Puzzle,It Takes Two,2021-03-23,who else feels like youtube is their best friend during quarantine?,Before
Puzzle,It Takes Two,2021-03-25,im genuinely happy developers are still making great games like this,Before
Puzzle,It Takes Two,2021-03-25,"so if youve been liking hakim in all the trailers, its a perfect 10?",Before
Puzzle,It Takes Two,2021-03-25,"hollow, please spam this game as much as you can!! this is amazing!!",Before
Puzzle,It Takes Two,2021-02-23,that moment when you want to play this game but realize youre single,Before
Puzzle,It Takes Two,2021-02-23,"already preordered, can't wait for myself and my wife to play this..",Before
Puzzle,It Takes Two,2019-01-19,i'm going on 60 yr's old and this still makes me get up and dance!!!!,Before
Puzzle,It Takes Two,2020-12-11,when a coop. game is truly cooperative. plus this one looks fabulous.,Before
Puzzle,It Takes Two,2021-03-25,if you have someone in your life... why did you put it like that dude,Before
Puzzle,It Takes Two,2019-04-29,i don't ever stop to see this movie i love so much the 2 little girls,Before
Puzzle,It Takes Two,2021-01-07,marykate and and ashley were the shirley temples of their generation.,Before
Puzzle,It Takes Two,2019-01-10,i just finished watching this omg i can't believe how this got 1 star,Before
Puzzle,It Takes Two,2021-03-25,"been playing this with my wife, the story is good, gameplay is so fun",Before
Puzzle,It Takes Two,2021-03-25,i soon as you said it's like a way out... me  i'm so hype to play it.,Before
Puzzle,It Takes Two,2021-03-12,ive managed to convince my fiance to play this with me when i get it.,Before
Puzzle,It Takes Two,2021-02-23,"between brothers, a way out and now this, i think the dude has a type",Before
Puzzle,It Takes Two,2021-03-23,can we just admire for a few seconds how incredible the graphics are.,Before
Puzzle,It Takes Two,2021-03-23,can we just take a moment to appreciate how amazing the graphics are?,Before
Puzzle,It Takes Two,2021-03-24,"sponsored by ea you were supposed to destroy the with, not join them!",Before
Puzzle,It Takes Two,2021-03-25,i swear this game should be played by couples who are going to divorce,Before
Puzzle,It Takes Two,2021-02-23,"so excited, thank you for making games josef. also.... faq the oscars!",Before
Puzzle,It Takes Two,2021-03-23,i like how during the video josef compliments him and he just says ok.,Before
Puzzle,It Takes Two,2021-03-25,ssundee saying thats toxic. me looking at my screen thinking about him,Before
Puzzle,It Takes Two,2021-03-25,him you can squish the ants my brain objects that ive shoved up my arse,Before
Puzzle,It Takes Two,2021-02-22,"me and the wife loves his games, a way out was epic. cant wait for this!",Before
Puzzle,It Takes Two,2020-12-11,this is the type of game we need in the industry. very excited about it.,Before
Puzzle,It Takes Two,2019-05-07,i saw this movie when i was only 7 years old ..missin my childhoof days.,Before
Puzzle,It Takes Two,2020-12-11,fares managed to make me excited for an ea game. that makes him a genius.,Before
Puzzle,It Takes Two,2020-12-11,"this is actually incredible, i believe in josef fares, he is a great guy.",Before
Puzzle,It Takes Two,2017-04-25,this is just like the younger version of parent trap lol i live that movie,Before
Puzzle,It Takes Two,2021-03-10,"this is the kind of game that will make me cry at the end, i can feel that",Before
Puzzle,It Takes Two,2021-03-23,hes trying to show ian the game while completing the whole game on his own,Before
Puzzle,It Takes Two,2021-02-23,the amount of creativity in this game is commendable. well done to the devs,Before
Puzzle,It Takes Two,2020-12-11,the animations are out of this world. game looks incredible designwise too.,Before
Puzzle,It Takes Two,2018-10-26,laughing so hard marykate  ashley olsen getting them so good in this movie.,Before
Puzzle,It Takes Two,2021-02-25,i was a fan of a way out and loved how you only needed one copy of the game,Before
Puzzle,It Takes Two,2020-12-11,it will be a fun game to play with my wife... unfortunately i don't have one,Before
Puzzle,It Takes Two,2021-02-24,wow thats actually really cool. you only need one copy to play with a friend,Before
Puzzle,It Takes Two,2021-03-23,he needs make a series with one of his friends on this game it looks so good,Before
Puzzle,It Takes Two,2021-03-23,who else rushes this vid when the notification came in enjoy! and stay safe!,Before
Puzzle,It Takes Two,2020-12-11,this gives off those vibes that older pixar films give off and i'm so into it,Before
Puzzle,It Takes Two,2020-12-13,"finally there is a studio that thinks for two player split screen coop, nice!",Before
Puzzle,It Takes Two,2021-03-25,"this looks amazing, haven't felt this level of joy since little big planet 2.",Before
Puzzle,It Takes Two,2021-02-24,"honestly so unique. please haze light, keep making these types of coop games!",Before
Puzzle,It Takes Two,2020-12-14,"anytime theres a coop game i can play with the misses, its greatly appreciated",Before
Puzzle,It Takes Two,2020-12-12,"a way out was an underrated gem, i'm sure this will also be an fantastic game!",Before
Puzzle,It Takes Two,2020-12-11,"i'm really happy that ea originals exist. small studios, doing amazing things!",Before
Puzzle,It Takes Two,2021-03-09,this looks so much fun. i should really convince my wife to play this with me.,Before
Puzzle,It Takes Two,2021-03-23,when you wanna download this game but doesnt have any freinds to play with....,Before
Puzzle,It Takes Two,2019-01-18,this will always remain a classic! hard to believe it's already 30 years old...,Before
Puzzle,It Takes Two,2021-03-25,it takes two hours to watch this video and two hands to applaud for the content,Before
Puzzle,It Takes Two,2021-03-25,"youre the best man, theres a warmth that comes over me when i watch your videos",Before
Puzzle,It Takes Two,2021-03-08,definitely gonna give this one a try. looks like the perfect gamer couple game.,Before
Puzzle,It Takes Two,2021-03-23,"ea be like hey sponsor us but instead of us giving you money, you give us money",Before
Puzzle,It Takes Two,2021-03-14,imagine this game was only created to take away youtubeclicks from take two haha,Before
Puzzle,It Takes Two,2021-02-24,"josef and the whole team at hazelight, you did it again. can't wait to play this!",Before
Puzzle,It Takes Two,2021-03-25,imagine marriage counselors recommending this game to help with marriage problems,Before
Puzzle,It Takes Two,2021-03-08,dolls and squirrels!!! that's so cool i love their designs and the textures!!!!!!,Before
Puzzle,It Takes Two,2021-03-25,thank ya for the whole gameplay. i was looking forward to watching the entire game,Before
Puzzle,It Takes Two,2019-03-17,"and then 20 years on, we find out that they have a younger sister elizabeth olsen.",Before
Puzzle,It Takes Two,2020-12-28,"been an mka fan for a long time, and this is still one of my fave movies of theirs",Before
Puzzle,It Takes Two,2021-02-23,anyone remember the movie honey i shrunk the kids? well this game reminds me of it,Before
Puzzle,It Takes Two,2021-03-23,"i knew it... i thought he looked familiar, he was the f the oscar's guy hahahahaha",Before
Puzzle,It Takes Two,2021-03-23,ian who would sponsor this? russel edits his face also ian thanks ea for sponsoring.,Before
Puzzle,It Takes Two,2021-03-25,"not gonna lie other than story, dynamics, graphics. the voice acting is oh so perfect",Before
Puzzle,It Takes Two,2021-03-08,can't wait to hear stories about how this game will help fix someone's relationship !,Before
Puzzle,It Takes Two,2021-02-23,"this is innovation right here but like a lot of ppl, i don't have ppl to play it with",Before
Puzzle,It Takes Two,2021-03-23,"ian is literally playing with a dude who have the power to say oh, that? i made that!",Before
Puzzle,It Takes Two,2021-03-23,"josef you are good at playing games me well of course, hes been on youtube since 2009",Before
Puzzle,It Takes Two,2020-12-12,"in a world with tons of firstperson shooters, alien robotthemed, this game stands out!",Before
Puzzle,It Takes Two,2021-02-23,josef farez is the best thing to happen to ea  been a fan of his games since brothers!,Before
Puzzle,It Takes Two,2021-02-25,wowwww...a game with a much needed value for today's problem. gonna have and play this,Before
Puzzle,It Takes Two,2021-03-25,"how much beautiful and deep feeling in one game, huh! it's been a pleasure watching it!",Before
Puzzle,It Takes Two,2018-06-16,who came here just to see the olsen twins cuz ur a big fan of full house? i know i did!,Before
Puzzle,It Takes Two,2021-03-25,"the whack a cody was hilarious sick game, can't wait for part 2, like the collab aswell",Before
Puzzle,It Takes Two,2017-04-13,i loved this movie! i can't believe i'm turning 25 this year. this makes me feel so old!,Before
Puzzle,It Takes Two,2018-01-04,i actually own this movie on vhs tape. and this movie was made a year before i was born.,Before
Puzzle,It Takes Two,2021-03-25,"this is the most entertaining 2 hours of my life , i love the game and your interactions",Before
Puzzle,It Takes Two,2021-02-23,this guy makes excelent games! a way out surprised me a lot! can't wait to play this one!,Before
Puzzle,It Takes Two,2021-03-24,"ssundee is literally playing with a dude who have the power to say oh, that? i made that!",Before
Puzzle,It Takes Two,2020-09-12,being born in 1972 was a blessing. there will never be another 1980 to 2000. the best time.,Before
Puzzle,It Takes Two,2017-08-10,omg those two girls look like the stars of 1999's critically acclaimed film switching goals,Before
Puzzle,It Takes Two,2021-02-23,can't help but love how blunt and dry this guy is  loved a way out and can't wait for this!,Before
Puzzle,It Takes Two,2021-02-23,ill buy this for 2 reasons. 1 to support offline coopmultiplayer! 2 to support josef farez!,Before
Puzzle,It Takes Two,2021-02-24,josef fares is a legend and a way out was amazing. i absolutely can not wait for this game!,Before
Puzzle,It Takes Two,2021-03-23,ea  sponsors someone   basically giving someone money to shoutout their ggame me impossible,Before
Puzzle,It Takes Two,2021-02-23,"hazelight is looking good after playing a way out, just hope no one tries to buy them out...",Before
Puzzle,It Takes Two,2020-08-05,man it's been 22 years when i was watching this movie when i was a little kid good times man,Before
Puzzle,It Takes Two,2020-06-03,its freakin 2020 and i cant believe i havent watched this movie oh no im going to  right now,Before
