Author,Comment,Likes
@SONICgokuverine,Guess that means it’s pretty close to being ready to go.,9
@NPC-rq6vn,"It would be tempting to make a swashbuckler rogue and not yell, ""pocket sand"" every time you use the sand toss ability.",17
@tonytheturtle8555,"I haven't been paying attention to recent mod drops for console, have there been any updates on race mods by any of the mod authors?",0
@MrVilla124,"So I’ve played an extra 7 hours on patch 8 before realising I had to reinstall the game. Does this mean I won’t be able to continue my save  indefinitely now, or will it possibly work when patch 8 is out? I got lots done and now I have to replay it all 😅.",4
@ch.kv.,"Thanks for the updates, any guesses on how long major mods will take to work correctly with patch 8, after it releases officially? Should we expect a few weeks of broken/buggy gameplay for modded runs on patch 8 when it drops? Not sure if I can hold out too much longer for my next playthrough lol",0
@Luckysquirrel1256,"Really curious to see how the astral forms with Druid work, if it is just a buff like with Spore Druid or if it you actually change forms.",4
@Thunderstrike10,"i think this is the only video on the patch 8 info, thank you!!",31
@joanhammond7261,I have it on my ps5 do I need delete bg3 and download again or can keep patch thing?,1
@anna45333,Any idea when exactly this patch 8 will be availiable on Steam? (thankfully i managed to complete the game just a couple of days ago (and i have even posted my ending here in youtube) So i am eager for the patch 8. No problems here. :),1
@HedlessChickn,i have never appreciated a pause button more.,0
