Username,Score %,Review
KuriousJorj,30,"Boring AF. Stuffed full of trivial minutia busywork, long-winded NPC blathering, with the occasional clunky combat spinkled in here and there. So glad I didn't pay for this overrated garbage."
emielpiola,100,"I played this game in January 2025, and it's truly spectacular. Addicting gameplay, complete and diverse mechanics between being a cyber samurai, a shooter or a hacker, wonderful open world with great visuals and immersive cyberpunk futuristic **** narrative is amazing, and so are the characters. V is great (I played with male V) but Johnny Silverhand is just one of the, if not the most, greatest video games characters of all times. And I am not exaggerating when saying this is, in fact, Keanu Reaves best performance yet. And Panam... what to say about her... Simply the best romance in video games history, extremely relevant to V's arc, the plot in general and author of the best ending possible.Soundtrack is amazing. DLC is fantastic (Idris Elba as Solomon Reed and Songbird are spectacular)It's definitely a 10/10 game. I know it had a lot of issues when it launched, but now it's a perfect game. A jewell from CD Project Red that leaves me with a lote of hope and enthusiasm for The Witcher 4, The Witcher Remake and of course, Cyberpunk sequel."
TarquiF,90,"Played the full version 2025. This was an awesome experience. Everything is fun, everything is well crafted and mechanics are really well implemented. RPG system was flawless. Story wise... there are some lose ends, but nothing too wrong, also there were some minor bugs related with physics but nothing out of the ones that make you laugh."
BumpkinSTABBY,100,"this game has so many bugs it made me question my own pc. but even with all the bugs and glitches, this is as good as it gets for open world games."
KirianBat,60,Decent game. Graphics have its highlights but especially the NPCs look and behave horrible. Gungame is just decent and the preset settings are just bad. Didn’t like the boss fights as they were just annoyingly long but not hard oder challenging…
NSWNSW,80,"SO to keep it short and sweet. Bought the game in March of 2021, such a hot mess, uninstall within two days. Blur/digital pixels ahead to Decemeber 2024. YES, YES, more please. This is the game I wanted, it's great, fun game play, fun dialogs, indepth characters and more. It still has it's issues, but its at bare minimal and it's more to my taste and wants versus overall game play. Graphics are beautiful. In a way, it followed V time line, game was close to dying, but it found its life line. Save the day"
K7Sniper,90,"Definitely one of the best revival stories in gaming. What started out as a glitched mess has turned into probably one of the best FPS RPGs out today. They legit fixed almost every technical issue the game had, and added some good content to the game. Worth **** if you haven't gotten it et."
MKULTR4,80,"Very good visuals, the world/universe is very interesting and has so much potential for future projects. Unfortunately the base game even with all the updates (2.2) still feels like it was rushed and was half baked even more when compared to Phantom Liberty which feels like a different game."
S0lnyx,100,"A gorgeous game with a well-developed universe that really draws you in. Cyberpunk is not just a game about killing and going on missions, it is a game about the importance of choice, about building relationships with other characters and thereby creating your own history of not just becoming legend of Night City, and also developing V's story and his future, lifepath. It is an honor for me that I was able to allow myself to touch such a masterpiece from an equally wonderful studio with an amazing game director. ""Would you rather live in peace as Mr. Nobody, die ripe, old and smelling slightly of urine? Or go down for all times in a blaze of glory, smelling near like posies, without seeing your thirtieth?"""
Erbzz,100,They really turned this game around from the bad launch. Props to cdpr. It has become a favorite of mine. 10 out of 10
KawaiOmega69,100,"This game is truly an Experience. I can't even use words how much I love that masterpiece. I may sound like a fanatic, but in my opinion literally everything is perfect about this game, story, mechanics, story telling, development, world building, every characters and building. This game has something inside that just makes me stay in Night City for long long hours. Every game I play I usually Abandon it after finishing main story or spending some time but in Cyberpunk 2077 I just want to stay there, I just want to play even for the 10th time and Experience this art once again."
bazukarecep,90,Oyun hatalarından arındırılmış yapay zeka hareketleri ve rol yapma kısmı çok iyi olmasa da oyun çok güzel. Oyunun en iyi rol yapma kısmı sonda bulunuyor.
Nightscape_,60,"Had to give 2077 a 6/10 due to it's lack of optimization - but the world and story is engaging. Worth a pirate, not a purchase. The bugs, glitches, and crashes made the game feel like a labor of greed rather than a labor of love. It's why I waited until 2025 to try the game as I heard how bad it was at launch. It is still a hot mess, but playable, just save often."
Harinka16,100,"I created an account just to rate this incredible game, which has quickly become one of my all-time favorites. I came in with low expectations, but it has pleasantly surprised me in nearly every aspect. I absolutely love this game."
VincentValen,90,"Horrible first year. I had pre ordered and decided to not get a refund no regrets. I just waited for it to be ready,. Cyberpunk turned out to be an amazing game, it just took time. Hopefully this is a lesson to all companies to not rush a product. Make sure it is ready. Cyberpunk is a top 15 game all time for me. It might be a top 10, somewhere in between. It's absolutely worth every dollar. There's a lot of great content, characters and stories. I hope they release another game!"
obrunu,90,"1 - Simplesmente um dos melhores jogos que já joguei na minha vida, não em questão técnica, o jogo tem muitos problemas no PS5, porém em questão de gameplay, diversão, história e construção de mundo, é incrível, você tem diversas maneiras de jogar e de seguir sua história. 2 - Problemas que encontrei durante minha jogatina: tenho 150h no game e o jogo crashou diversas vezes, umas 5 no mínimo, tem alguns bugs também de veículos e NPCs entrando no chão, mas o jogo é tão divertido que não chegou a me incomodar sinceramente, mas os bugs estão lá mesmo que sejam poucos, são notáveis. 3 - A DLC Phantom Liberty é incrível, adiciona muita coisa ao jogo e você percebe o carinho que tiveram no desenvolvimento. Eu definitivamente recomendo o game, é uma experiência única"
vinnie024,30,"The story is short and depressing, it didn't satisfy me at all. The gameplay gets boring after a while, and the feeling of impact is terrible. It built up so much expectation and failed to deliver on any of it. I played it in the beginning, and I let it go back then because it was full of bugs, but nothing has changed. The game is still trash, in my opinion. Its open world feels extremely lifeless, with just NPCs and cars that spawn for no reason."
lgan123,100,"I'M CHIPPING IN, Cyberpunk is the future of gaming, this is the ultimate game I have been looking for my entire life. The Night City, The Storyline, THIS GAME IS AN ABSOLUTE MASTERPIECE"
TheWarriorMan,100,"I recognize that the game has numerous bugs and issues, but it remains a fantastic experience due to its solid mechanics and compelling story. I genuinely enjoyed playing it, and it's impressive that a game set in 2077 can be so engaging! However, I do take issue with the jokes made about our creator, Jesus Christ."
Porx11,100,"Story, gameplay, graphics, atmosphere. Everything in this game is perfect, literally everything. This is a masterpiece!"
DasEichenlaub,70,"Playing in 2025... Starting with the bad: Open world is small, since it seems like one can't really create an urban open world or modern open world that feels real, maybe don't try. Night city is tiny and there's no traffic jams. Glitches, hats don't work properly. Encountered one weird stretching glitch when a body was dismembered. They still need to proof read the text, I teach English to migrants and refugees and their writing is often more comprehensible than texts I have encountered in game. Guns, don't use them in your game if you don't know how they work. They put too much effort into making the guns gamey. Shoulda made the combat much more deadly instead of sending more bullet sponges at you. Guns, cyberwear, perks all involve too much incremental change and or differences between options. Vehicles handle ridiculously and defy physics. Makes me wonder if the devs even drive. You can't really defy or rage against the dystopia and even if you did there wouldn't be any consequences. I keep accidentally hurting civvies and the cops hardly care and when they do they quickly forget. The good Graphics Voice acting, characters, story and art. They really convey the horror of a multicultural degenerate anarchocapitalist hell with the gross ads and prostitution simulation. At the smaller scale the environments, individual building interiors, are well designed to allow for multiple play styles and feel more or less realistic besides too many indestructible windows. Conclusion"
Avseq01,90,"One of the best of its kind. This game is very good at taking you from your chair to night city. very immersive, very cinematic, sometimes kinda boring but overall its an unforgettable experience"
Rubyrouselim,80,"Based on 2024 latest patch,my whole playtrough 95%free of bugs,the futuristic city is cramped with small little detail everywhere,especially most indoor area have a very detailed futuristic/complicated led lights/design(too ambitious no wonder game launch was disastrous)Smooth/fun Gunplay,most of the main story heist/mission was really good/epic,overall game structure feels like playing Gta/witcher3 with wide variety of moderately fun sidequest"
basic12345,80,Not as good as promised. The game was launched when it was not finished. The delelopers try since then to finish the game with patches but it still feels a little bit unfinished.
0235,20,"I am not your ""Bro"", especially when the first time i try to launch the game nothing happens, the second time it plays an advert for The Witcher 4, and the 3rd time it tries to get me to download AMD software. 4th attempt at finally getting in it calls me their own made up slang version of ""bro"" on a legal document. One of the worst most **** launches in the past 5 years, and doing nothing to redeem themselves."
mielozdmin,100,[SPOILER ALERT: This review contains spoilers.]
Diamondhorne,100,[SPOILER ALERT: This review contains spoilers.]
pixeru,100,"Best game ever, I mainly loves the vibes. Besides that, characters and combat mechanics are 10/10 if not 9/10."
Kaczorro28,100,"Best game ever, period. The graphics, actors, plot, it is just insane what this game is capable of."
DarkMadison,100,"Absolute masterpiece with one of the best plots in videogames. Even thought the launch was a pure mess, the developers fixed many annoying issues. Visually stunning with engaging gameplay, top notch music, and memorable characters. Cant wait for the release of Witcher 4."
eblk,50,"""A visually stunning RPG with deep lore, action-packed gameplay, and style!"""
callen55047,60,"A perfect example of quantity over quality. The game is visually appealing, and tries to do so many different things. But the story telling and main character lines were so bad that its hard to find reasons to come back and play it. I played it with the path-tracing mode on PC and the developers deserve some serious recognition for what they accomplished! But this game took me over a year to finally finish. I found that I was desperately trying to skip every bit of dialog just to get back out and explore the world. But then the world didn't have very much charisma or charm, and was generally buggy. I would hit a barricade while driving (vehicle handling is aweful) and if I was within 10 feet of a police officer, they would freak out and attack me with full force. The experience of driving around the city ended up becoming annoying and frustrating. If you have a path-tracing capable PC, I would recommend picking it up on a sale and playing it to experience what truly incredible lighting looks like. But I don't recommend this game in any other form."
hellorty,30,"One of the most boring games ever created. They put so much effort into the hype, and keep upgrading graphics, but in a nutshell, the game has extremely weak and outdated mechanics, even Fallout 3 still feels fresher than that. It's like a regular polish shooter with cheap cyberpunk skins and designs made by some scholars, despite all their hard work on improving Ray Tracing stuff, etc. I waited for it for years and pre-bought it, and simply couldn't believe how bad everything was when launched it first and tried to have fun for 10-15 hours, then gave it another try one year later and the game was still bad af but with better graphics. Feels like a complete scam."
walkaround912,100,"the first time i played a game and i did not want it to end. the only thing not s tier about this title is the open world immersion and the gameplay systems could be more, but what gameplay systems are there are amazing. Combat story and art direction are s tier."
Cropac,100,Cyberpunk 2077 ha sido una experiencia que realmente me ha dejado huella Desde que me adentré en Night City me sorprendió lo viva que se siente la ciudad con cada rincón oscuro y cada paisaje futurista tan bien detallado que parece que realmente podrías caminar por ahí La historia me atrapó desde el principio con personajes que no solo son memorables sino que también se sienten muy reales conectados con las emociones y dilemas que plantea la narrativa Cada decisión que tomas tiene un impacto y eso me hizo sentir que realmente estaba moldeando el mundo a mi alrededor ya fuera a través del sigilo la confrontación directa o la tecnología Aunque el juego tuvo sus problemas al principio no puedo negar que ha mejorado mucho con las actualizaciones y la expansión Phantom Liberty ha añadido aún más contenido que hace que el universo de Night City se sienta aún más rico La narrativa sigue siendo increíble y la atmósfera y los gráficos me siguen sorprendiendo Es un juego que demuestra la habilidad de CD Projekt RED para crear mundos inmersivos y contar historias complejas Si buscas algo que combine acción exploración y una historia profunda Cyberpunk 2077 es una opción que vale la pena
Teys,60,"Even after a large number of updates, the game is full of bugs.Boring mechanics, nothing special and new."
amjd1413,70,too many dialoges excpect only 15% gameplay the main story and side stories are very good you need to give it a big time to understand johny silverhand is the best charchter in the entire gaming history the graphics is the 9/10 most of the times the world is amazing at night but not big enough soundtraack is average very few activites other than missions custmization is worthless since its first person
Cdogttv,90,"Cyberpunk 2077 is a stunningly beautiful, funny, and over all entertaining game. If you enjoy having the freedom to do whatever you want like me spending the first 3 hours playing the game just exploring the map, and doing side missions for no reason whatsoever then this will be your **** course a game of this magnitude does not come without its technical difficulties, however even with a mid-tier system like my own I have been able to enjoy the game in its entirety. I can say that I am very happy with how vigilant the developer has been with communicating that they want to perfect the product as much as they can.I was not a hype beast for cyberpunk, and I can say without a shadow of a doubt its lived up to all the hype I’ve seen about it, and I can’t wait to see what the developers do with the game going forward. So let me stop reviewing so I can actually beat this game at some point."
Toxic28,100,"10/10 Story - 9/10 Gameplay - 10/10 Graphics - 10/10 Atmosphere - 9/10 Character design - 10/10 Levels/map design - 9/10 Sound Effects - 10/10 Soundtrack - Overall: 9,60/10"
Quentinho4,100,"Night city, quelle ville incroyable! Un ""petit"" 10/10, un 9,5 si j'avais pu. Car pas assez exempté de défauts pour rentrer dans mon top 20. Mais il excelle haut la main sur certain points notamment l'histoire, ses personnages et ses quêtes. Malgré la quantité de dialogues titanesques j'ai rarement été ennuyé. L'histoire sort de l'ordinaire et les quêtes secondaires sont souvent mémorables. Les personnages attachants, intéressants et charismatiques (sauf le perso principal avec qui j'ai un peu de mal). Autre aspect incroyable, le monde est très vivant grâce aux nombreux pnj et leurs dialogues, les lumières et décors du centre ville, un plaisir pour la rétine. Même si en s'éloignant de la ville on perd vite en beauté et émerveillement. Le gameplay et plutôt bon sans être non plus parfaitement réussi. Pour parler des défauts: trop passif, beaucoup de dialogue et peu d'action. Le système de hack en combat est raté et peu intéressant, la discrétion aussi, elle me paraît trop mauvaise pour être viable et fun. Trop de fonctionnalités et d'améliorations de personnage/équipement, accompagné par un très mauvais didacticiel qui explique mal toutes ces fonctions. Aussi une surcharge d'équipement, beaucoup trop de loot. Un surplus d'information à l'écran et dans les menus est aussi à noter, le jeu est très mal épuré la dessus. La POV de notre perso est trop basse, on se sent très petit. Et sans oublier une grosse quantité de bugs. La musique est anecdotique malheureusement. Sans tout ces défauts, il aurait pu rentrer dans mon top 15, mais je pense qu'il se place autour de la +20ème place. Il reste néanmoins un incontournable selon moi mais loin derrière leur précédent jeu, the witcher 3, qui le bat en tout points."
