Username,Date,Score %,Review
Koukaburra,2024-01-27,70,This game is fun and you can make it as hard or as easy as you want. A great entry in the sandbox/survival genre with a unique premise. What holds it back is that some game mechanics become cumbersome and the push for players to buy the stream of DLCs that they produce. The game has a good progression system and unique mechanics that make it fun to play but has a lot of inherent grinding that needs to be done in game that slows games. This is less of a problem in multiplayer but I haven't had much experience playing online. For me it's a good game but reliance on grind and DLCs always pulls me away from the game.
Krook_pro,2024-01-19,100,Definitely one of the best Dinosaur games out there. A fun time for sure and super entertaining. Taming Dinosaurs is now my hobby
ShaneVerse,2024-01-07,60,"Ark is incredibly fun, and Ive never not had a good time playing it. But it is one of THE WORST DESIGNED GAMES I HAVE EVER PLAYED"
meprongl,2024-01-01,100,"Can't say much, best dino game out there it have its bugs bulding is kinda annoying with some structures due to potato wifi couldnt play the multiplayer, mods make a big part of the game the soundtrack is good, overall funi dino game."
TsukasaHiiragi,2023-12-21,40,"Multiplayer is pretty much full of cheaters/hackers and or griefers, playing on a PvE server is equally difficult with over-population. Singleplayer, the game is severely unbalanced and always has been - playing with mods is imperative to balance out some of the nonsense."
powwow,2023-11-19,20,"Currently in a non-playable state .... Created a char, next day server not found, create new char, server not found again .... forget this alpha"
evenlever,2023-11-15,100,"Buah el mejor juego de la historia de la humanidad tambien conocida como homo sapiens sapiens la cual es proveniente de los primates tales como los monos y chimpances,mas no somosdescendientes de los mismos, solo compartimos la familia primate, los susodichos monos y chimpances son solamente nuestros ""primos"" para decirlo de alguna manera familiarizada"
demoincookie,2023-11-08,90,i legit love this game if you can get the dlc it is so worth it i know its a lot of money but they are so fun and idk with friends cuz im alone :( kinda grindy tho :/
Thomas0520,2023-10-13,60,With Friend i will give it 8.
Wildyy,2023-10-06,80,[SPOILER ALERT: This review contains spoilers.]
Hurkral13,2023-10-02,90,Best survival game ever
Malpa22,2023-09-27,80,i thought that rust takes a lot of time to play but this game consumes your real time with out limit
BaLtyr_,2023-09-23,30,this game....... exists
Excali22,2023-09-18,30,"This triple-A rated game may not be worth your time. There's a persistent bug that plagues the main game, causing you to lose all your hard-earned items suddenly. You could invest countless hours collecting items only for them to vanish unexpectedly. While it does offer a single-player mode for practice, this benefit is negated when your items disappear without reason.Comparing it to Rust, it falls short, despite having better graphics and improved gameplay due to the single-player option. However, this is marred by a game-breaking bug that jeopardizes your survival, especially given that items are crucial and time-consuming to acquire. It's concerning that this issue has persisted for five years without resolution. At its current price of £44.99, it might not be worth the investment in my honest opinion."
NatalieT,2023-09-18,0,"not even worth writing a proper review for, id be putting in more effort than the devs clearly did. for god's sake, the game is literally named ""Shootergame"" in the files. actually unbelievable."
Excali2,2023-08-25,100,"Even with its initial lack of performance (which improved with the passing of updates), I think it is one of the best Survivals ever created. You can play PVP, PVE and even change the whole experience with the use of Mods. Unlimited hours of fun (That it is in the Top 1 of my most played games on Steam proves it)."
aesirus96,2023-08-15,60,"Indo direto ao ponto: o jogo é bugado, principalmente no coop, mas isso não faz ele não ser divertido. A comunidade é bacana, os servidores não oficiais são bons (exceto no quesito conexão, quero dizer na experiência no geral) e a gameplay, mesmo que seja repetitiva, não chega a ser maçante. Com amigos vale a pena, sozinho não sei dizer."
PinkKitten,2023-08-04,0,"I use to love this game, then recently I heard about the cheaters of snail games, most of this is done on the official conquest servers, where you get wiped by the big bad publisher tribe "" Tea Tribe"" or get banned if you start to win, don't believe me ask 90+ of the Island Boys Tribe that got banned by simply raiding tea tribe fairly. well congratulations snail games and wild card play stupid games and win stupid prizes I'm putting this review everywhere I can even make a video of the same topic"
The__Doctor11,2023-07-21,100,"Ark: Survival Evolved is an action-adventure survival game that is both thrilling and engaging. With its unique features, dynamic world, and abundant customization options, it stands out among other games in the genre. The multiplayer functionality adds even more excitement. Overall, it provides a truly enjoyable experience that keeps players coming back for more. Gameplay mechanics Ark utilizes a unique combination of first-person combat, survival mechanics and open world exploration to provide an immersive and compelling experience. The game rewards the player with level progression by completing certain actions, which unlocks new skills and customizable options. The more one plays the game, the more they learn and the more they will enjoy playing. The Unique Features Dinosaurs, Ark has an impressive variety of prehistoric beasts that can be tamed and ridden across the game's islands. When coupled with the environment, they create an unforgettable world. Crafting, Ark features a robust crafting system that allows the player to create an endless amount of equipment, weapons, and resources to survive the wild. This feature adds depth and meaning to even the most mundane tasks. Exploration, Ark's world is full of hidden wonders that encourage exploration. Along the way, players will encounter mythical creatures and puzzles that add to the excitement of the game. Dynamic World Ark's world is ever-changing and responding to the player's actions. Players are always adapting to the new challenges the environment constantly presents. Whether it's a natural disaster or a creature invasion, everything affects the world the player is living in. Every decision and action has a lasting impact, making each player's game unique and unforgettable."
captainzwane,2023-07-18,100,my favorite and most hated game because Carcharodontosaurus Fasolasuchus Fasolasuchus Gigantoraptor Gigantoraptor Rhyniognatha Rhyniognatha Archaeopteryx Argentavis Argentavis Astrocetus Astrocetus Astrodelphis Astrodelphis Insect Swarm Insect Swarm Crystal Wyvern Crystal Wyvern Crystal Wyvern Queen Crystal Wyvern Queen Desert Titan Desert Titan Desmodus Desmodus Dimorphodon Dimorphodon Dragon Dragon Featherlight Featherlight Fjordhawk Fjordhawk Gasbags Gasbags Giant Bee Giant Bee Glowbug Glowbug Griffin Griffin Ichthyornis Ichthyornis Lymantria Lymantria Manticore Manticore Meganeura Meganeura Onyc Onyc Pelagornis Pelagornis Phoenix Phoenix Pteranodon Pteranodon Quetzal Quetzal Rhyniognatha Rhyniognatha Royal Griffin Royal Griffin Scout Scout Sinomacrops Sinomacrops Snow Owl Snow Owl Summoner Summoner Tapejara Tapejara Tropeognathus Tropeognathus Voidwyrm Voidwyrm Vulture Vulture Wyvern Wyvern Swimming Creatures Ammonite Ammonite Andrewsarchus Andrewsarchus Angler Angler Baryonyx Baryonyx Basilosaurus Basilosaurus Castoroides Castoroides Cnidaria Cnidaria Coelacanth Coelacanth Diplocaulus Diplocaulus Dunkleosteus Dunkleosteus Electrophorus Electrophorus Eurypterid Eurypterid Hesperornis Hesperornis Ichthyosaurus Ichthyosaurus Lamprey Lamprey Leech Leech Leedsichthys Leedsichthys Liopleurodon Liopleurodon Manta Manta Megachelon Megachelon Megalodon Megalodon Moeder Moeder Mosasaurus Mosasaurus Otter Otter Parakeet Fish School Parakeet Fish School Piranha Piranha Plesiosaur Plesiosaur Sabertooth Salmon Sabertooth Salmon Sarco Sarco Trilobite Trilobite Tusoteuthis Tusoteuthis Land Creatures Creatures that are primarily found on land. Achatina Achatina Allosaurus Allosaurus Amargasaurus Amargasaurus Andrewsarchus Andrewsarchus Ankylosaurus Ankylosaurus Araneo Araneo Arthropluera Arthropluera Attack Drone Attack Drone Basilisk Basilisk Beelzebufo Beelzebufo Bloodstalker Bloodstalker Brontosaurus Brontosaurus Broodmother Lysrix Broodmother Lysrix Bulbdog Bulbdog Carbonemys Carbonemys Carcharodontosaurus Carcharodontosaurus Carnotaurus Carnotaurus Castoroides Castoroides Chalicotherium Chalicotherium Compy Compy Crystal Wyvern Queen Crystal Wyvern Queen Daeodon Daeodon Deathworm Deathworm Defense Unit Defense Unit Deinonychus Deinonychus Dilophosaur Dilophosaur Dimetrodon Dimetrodon Dinopithecus Dinopithecus Diplodocus Diplodocus Direbear Direbear Direwolf Direwolf Dodo Dodo Doedicurus Doedicurus Dragon Dragon Dung Beetle Dung Beetle Enforcer Enforcer Equus Equus Fenrir Fenrir Ferox Ferox Forest Titan Forest Titan Gacha Gacha Gallimimus Gallimimus Gasbags Gasbags Giganotosaurus Giganotosaurus Gigantopithecus Gigantopithecus Glowtail Glowtail Hesperornis Hesperornis Hyaenodon Hyaenodon Ice Titan Ice Titan Iguanodon Iguanodon Jerboa Jerboa Jug Bug Jug Bug Kairuku Kairuku Kaprosuchus Kaprosuchus Karkinos Karkinos Kentrosaurus Kentrosaurus King Titan King Titan Lystrosaurus Lystrosaurus Maewing Maewing Magmasaur Magmasaur Mammoth Mammoth Managarmr Managarmr Manticore Manticore Mantis Mantis Megalania Megalania Megaloceros Megaloceros Megalosaurus Megalosaurus Mega Mek Mega Mek Megapithecus Megapithecus Megatherium Megatherium Mek Mek Mesopithecus Mesopithecus Microraptor Microraptor Morellatops Morellatops Moschops Moschops Nameless Nameless Noglin Noglin Otter Otter Overseer Overseer Oviraptor Oviraptor Ovis Ovis Pachy Pachy Pachyrhinosaurus Pachyrhinosaurus Paraceratherium Paraceratherium Parasaur Parasaur Pegomastax Pegomastax Phiomia Phiomia Procoptodon Procoptodon Pulmonoscorpius Pulmonoscorpius Purlovia Purlovia Raptor Raptor Ravager Ravager Reaper Reaper Rex Rex Rock Drake Rock Drake Rock Elemental Rock Elemental Rockwell Rockwell Roll Rat Roll Rat Sabertooth Sabertooth Sabertooth Salmon Sabertooth Salmon Sarco Sarco Seeker Seeker Shadowmane Shadowmane Shinehorn Shinehorn Sinomacrops Sinomacrops Spinosaurus Spinosaurus Stegosaurus Stegosaurus Tek Stryder Tek Stryder Terror Bird Terror Bird Therizinosaurus Therizinosaurus Thorny Dragon Thorny Dragon Thylacoleo Thylacoleo Titanoboa Titanoboa Titanomyrma Titanomyrma Titanosaur Titanosaur Triceratops Triceratops Trilobite Trilobite Troodon Troodon Unicorn Unicorn Velonasaur Velonasaur Woolly Rhino Woolly Rhino Yeti Yeti Yutyrannus
Rhex98,2023-07-09,70,"Buen videojuego, bastante divertido para jugar en cooperativo y lleno de bastantes cosas para interactuar, el mayor problema puede ser el bajo rendimiento, aun con un buen pc puede darte tirones, además de bugs constantes."
SouperKoopa,2023-06-26,40,"In the beginning it's fun, but it's way too grindy. Even with adjusting the settings. Also there are more bugs in ark than on earth and not to mention the optimization (which was totally forgotten). Also the graphics are meh. It's so pixely and just does not look right. Also, story aspect is neglectable. pros: - fun in the beginning - dinos - progression system cons: - dinos always aggressive - contless bugs (yes, game breaking ones) - very punishing gamplay - sooooo grindy - horrible performance - Dino AI is less intelligent than a minecraft zombie - Dinos are most of the time just pain Only reason why I have so many hours is just because I was a noob and its grind factor (adjusted the settings, still items too expensive)"
Azurgan,2023-06-18,0,"If you play this game and for some reason your on a server with the Guild TEA, your going to get Ban from the game if you and your guild member manage to overpower them. TEA is the Snail Games devs (some of them) Guild, the publisher of Ark and if you google it/youtube it you will find multiple cases of this happening and prove that this guild TEA should be disbanded and the devs helping them fired."
wolfnet18,2023-06-12,50,"I have to give ark a down the middle review. Graphics are nice The number of different dinosaurs is amazing. There are different maps to explore What hurts this game is the optimization. Single player is fine, but multiplayer, especially if you dont buy a server hurts a lot. Tether distance is something that should have never existed in the game, and all players getting pulled to someone just because they flew over or entered a cave ""forces"" you to buy a server or play online with friends. Unfortunately that is where things go downhill because there is currently a lot of controversy against the devs closing down servers, and even banning a lot of players. The game also still suffers from bugs that have existed for years and havent been fixed either because they cant or just choose not to. If you love dinosaurs, and breeding and raising them, building bases and what not, and are looking to play solo, pick this up. If you're ok with playing this online, and logging in one day to potentially everything just not being there it still might work for you, otherwise i'd probably wait a few years, and see if Ark2 fixes anything."
RockHobbit,2023-06-07,0,"This is a great game ruined by awful developers/ publisher and a crap ton of bugs with no support. You will lose dinos, you will lose your character, you will get ""Arked"" and support will NOT help you. There are bugs in this game, and lots of them. The game is janky, but it's fun. But the developers are scandalous. Faking steam reviews, lying to customers, playing on the servers and banning tribes that attack them (see h.o.d). They're closing the servers in August 2023 and forcing everyone to start over and pay full price (after being advertised as a free upgrade) for their remaster if they want to continue playing and supporting this awful company. I truly loved this game but with all the times this developer has pooped on it's supporters I cannot imagine this game succeeding after servers go down. And be aware of you buy this game, only single player will be available as of August."
tensioly,2023-06-06,80,"El ARK Survival Evolved es uno de los juegos más divertidos de supervivencia. Teniendo en cuenta las numerosas carencias que posee el juego, como son principalmente el apartado visual, la interfaz, la optimización (aunque con el tiempo la han ido mejorando bastante) y sus mediocres físicas; el juego sabe emular perfectamente la sensación de supervivencia y el ambiente prehistórico, a la vez que en cuanto a mecánicas y a cantidad de criaturas (cada una de ellas con un nivel de detalle excepcional) es de lo mejor que podemos encontrar en el género. Cabe destacar que la música es bastante buena y adecuada en cada contexto y situación en la que suena, y el lore que tiene es interesante. Por último debo recomendar, habiendo jugado los modos offline y online del juego, que este juego se juegue mejor online y a ser posible con amigos, ya que hace del ARK una experiencia realmente alucinante. 7,9/10 (10/2019)"
Dragamigh,2023-06-02,90,"Ark is a fantastic game. Yes it has many bugs and glitches, but everything else makes it so much better, and makes handling the bugs worth it. From the extremely active community that are constantly pumping out amazing mods, to the sheer amount of content, and the surprising amount of story and lore, I recommend trying Ark: Survival Evolved out!"
Farthas,2023-06-01,0,"I've been playing this game for about 4 years, its only getting worse and worse with their own company tribe that is playing the game called TEA , they are using every kind of cheat there is and not getting banned, while getting the best blueprints ect spawned in by their pocket dev..... This was the last season of conquest before ark 1,5 release, and its been the worst one in all the time i have been playing this game , this time everyone from 1x came to play on conquest servers and SO MUCH CHEATING is ruining this game so hard, and the admins that is soposed to protect the community and keep it a fair game dont really care at all about all the cheats, because NOTHING has changed in the 4 years ive been playing it only getting worse and worse every year.. This game is a total waste of time , you spend weeks or months building a base only to loose it to hackers and cheaters within days or even hours depending on the hack they are using...... 100% unfair fight and there is really no hope of even winning the game in any way vs these mega tribes and TEA (Snail games tribe) because of all the cheat they are using."
Triblue,2023-05-21,90,"Un jeu magnifique, original, fun, avec un gameplay cool. Le jeu devient juste vite répétitif si on joue pas en multi"
BoneSaw,2023-05-17,10,"Its an exploitative mess. The game is barely functional, takes up 400GB+ of space. To top it all off they are requiring long time players to pay an exorbitant amount ($40) of what is essentially a graphics upgrade, whilst also closing down its Official servers. Those who have paid for the legacy iteration, had to pay for this iteration of the game, and now will be required to shill another $40 for this coming iteration. If you are an addict of the game, just play offline... play on non-dedicated servers... don't be a patsy for the evil company that is Snail Games. Your money will be the only thing they will listen to as its clear they don't give a single care about the players who have been there to support them from the start. Fan boy and girls will be angry, and you should be, but not at me. Be mad at the people in charge who are going out of their way to strangle you for every $ they can."
realWhiteMan,2023-04-09,40,[SPOILER ALERT: This review contains spoilers.]
ZackH25,2023-03-23,70,Great game that is very detailed. So much stuff to do on it and if you want to get far in this game it is gonna be a grind especially if you are playing by yourself. The furthest I got was taming a Carno and making a sniper in the game. When you finally accomplish something it is very rewarding and that is the best part about the game. It is also quite fun surviving against a bunch of random dinosaurs and other creatures especially when some of them are really annoying to deal with especially the snakes and the bugs. This game is a bit effort to play by yourself and it can get very repetitive with the grind. Also quite laggy at times.
rezo_21,2023-03-12,80,====================IIIIIIIIII GAME SCORE : 82 IIIIIIIIII====================
