Username,Score %,Review
pecefgulgmer,10,"Terrible game, incredibly poor optimisation, graphics quality are sub-par, cutscenes are dull and boring. Characters have no depth, and gameplay is lacking massively."
ShadyXIX,100,GOTH :)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))
JKaiya,80,"I wish multiplayer was better, but other than that the game is pretty good and unique to play. It is much better to play singleplayer though sadly as multiplayer would ruin the experience. If you do play multiplayer, I really really suggest to only play it when all the players have finished their own single player campaign. I also wished there was a harder difficulty mode. Hard is too easy, and all the hardcore mode does is make boss fights have a bit more skills on them, but the base difficulty never changes. If they had a harder difficulty mode and better multiplayer design, I would've easily 10 starred even though I'm not the biggest fan of the story at all."
FangRu,90,"I never play turn based games but my first one really took the cake. Amazing RPG with so much variables, decisiones, styles, quests and maps that its almost overwhelming but in a good way. Definitely recommend this one for people like who generally do not play turn based games but like RPGs. Its new experience that will enhance your gaming life fully. Craziest thing is that more you play, the more fun it is. Great 9.5/10 game overall."
recagnacci81,100,"Old gamer here. BG 3 is simply the GOAT, no way around it. Congrats Larian for another amazing game (both divinity souls are awesome too). Please keep on making great games and please don´t become an EA or something like that"
Zer0xBeagle,100,"a true masterpiece and a game like no other in the rpg genre, every bit of it was near perfection and im so glad I was able to play it, such a special game"
k0d3-n-r011a,100,This was an amazing jorney! Coop jorney! Larian did the best D&D for me and thanks for that!
Romarsofar,90,"BG3 is a gem. All the praise is rightfully earned. Downsides: there is steep learning curve for the game controls on console, as well as the 5e DND mechanics (for those unfamiliar). It took me several hours to learn how to play. Furthermore, the turn-based combat is not for everyone. That said, this game is a masterpiece. The characters, story, music, and atmosphere are compelling and the level of depth regarding choice and player agency is unmatched."
Mandulum,100,"While it's not perfect (stop running into visible traps, Lae'zel!) it is very entertaining and I didn't get tired of it before the end of the game. Date Completed: 2024-01-06 Playtime: 92h Enjoyment: 10/10 Recommended: Most definitely"
Valtyr11,100,A masterpiece in all its ways. Love and passion went into this game and it’s felt in every moment.
Icekyng,100,Any D&D fan would love this game. Shame only to level 12 but that is more than enough time spent. 150 hours plus and I wanted more.
Zunua,100,"I wish there would be more games like this one, where the devs actually seem to care for their players... unlike all the AAA studios at the moment. I love all the choices they give us in this game. The characters are solid and so is the music. 10/10"
hertakss,100,"One of the best RPGs I've ever played, I can immerse myself in the story like in no other game."
Franquini89,100,"This game is the greatest piece of art I have ever experienced, I am extremely grateful to have played it and I cannot express the deep appreciation I have for it."
Thedvd3,70,"There's sooo many things wrong with it that I could be writing something new every day. I'll just say that it is nowhere as good as promised and what the fans make it out to be. I went into it absolutely blind and excited as can be, only to realize that the game kept getting worse and worse down the line. I still stayed objective and only rated the game, but even then it's not more than a 7 or 8/10 if I'd be generous. Anyone making this out to be the best game eva!1!1!1 really need to lay off the skooma. It's absurd, and only makes sense if this is baby's first RPG for 99% of people and the ""professional"" reviews are just paid. All in all, worth a playthrough, but don't expect anything special. It's only held up because of the insane production budget."
Biboo,100,[SPOILER ALERT: This review contains spoilers.]
doopie36,40,"Looks good, plays boring. Story is meh, characters are okayish. Larians combat starts to feel outdated, you‘re always outnumbered and have to cheese or use cookie cutter builds. Reloading because you started a conversation with the wrong character is annoying. Literally everything in the game gets resolved by skill check or killing someone. There is no planning ahead, no outsmarting your enemies. There are much better crpgs than this. Even Divinity Original Sin 2 is a considerably better game. The popularity of this game comes down to sex sells and its honestly great graphics and design."
Tzoker,100,Finished act 2 but very good till now. asdasdadasdsaddadasdsadadadasdasdasda
let_p,100,"This game is amazing. I wish the romance was better, but that's me being greedy. I was craving Dragon Age Origins, and some things reminded me so much of it... the camp conversations, the romance, combat options, engaging story, decisions affecting the world... anyway D&D stuff haha, I loved it so much and I'm still playing."
HaloBlues,100,"Apparently, I didn't review this after finishing my first playthrough. I don't quite recall why, but I suspect it would have something to do with having so much to say about it that I was promptly overwhelmed with no idea where to start. I'm going to have to take the easy way out and do most of this in bullet points, because there's genuinely such a broad ocean of Stuff here that it's impossible to address everything. I'm halfway through my second playthrough, a half-elf fighter Dark Urge, but my first completed playthrough was a tiefling bard. Positives: - The companions are well-developed, interesting, and likeable. I don't particularly dislike any of them; I wasn't sure what to think of Lae'zel at first, considering she pounced on my gay as hell tiefling man declaring she knew he wanted to taste her, which was more than a little off-putting for both of us, but I warmed up to her by the end. I'm probably most fond of Gale, Shadowheart, and Astarion (that first run's romance choice was Gale), but I suspect my feelings will vary the more I play and the more I focus on different companions. - The voice acting is broadly praised, and for good reason. I don't think I ever came across a character who was voiced badly or in a way that took me out of the experience. Astarion's is without a doubt the one most often brought up for this point, but I also really enjoyed Gale's. - The roleplay aspect was certainly satisfying to me. I don't recall a moment where I wished I could do something and wasn't given the option to, minus some obvious ones like wishing I could save someone who dies no matter what which I understand not being allowed to do, and the replayability is high enough that before I'd even finished my first playthrough I'd already come up with 20+ character ideas I want to try out sometime. - It's definitely made me more interested in D&D as a whole, as well as other CRPGs like this. I'd tried a D&D oneshot in the past, as well as a brief foray into Divinity Original Sin 2, but neither of them quite clicked with me at the time just because I was a little lost and had no clue what I was doing. Playing BG3 helped familiarise me with the rules and controls, so I now feel much more open to jump back into those. - I love that the companions are all romanceable regardless of your character's gender, etc. I know some dislike that, but it makes sense considering bi/pansexuality is canonically the norm in the Forgotten Realms lore, and I personally much prefer being able to romance whomever makes the most sense with my character rather than having options that would have fit them most being locked away. - The graphics are gorgeous; not the best I've seen in any game, in my personal opinion, but definitely great. - The music. I'd wager most players have gotten ""Down, down, down by the river..."" stuck in their heads before, and I loved Raphael's boss theme enough that I stopped fighting and just sat to listen to it all the way through first. Negatives: - When I first played, Act 3 was borderline unplayable. It was absolutely riddled with glitches and lag, to the point where it would take me a few seconds just to take a single step, let alone get anywhere. This was no fault of my PC, which can run absolutely every other high-requirement game I've ever tried no problem. I would have to exit the game and restart it to experience twenty minutes or so of no lag until it hit the point it started again. Hopefully this has been fixed since that first run; I guess I'll find out when I reach Act 3 again. - Pathfinding and AI can be unreliable. You'll likely find yourself going back and forth a lot trying to wrangle your companions into jumping over a gap, with them all jumping back over as soon as you switch to the next person. - The load times... they're so long... - Things can be a little confusing and unclear in the sense of the order of quests you're supposed to do or how many long rests you can safely take before certain things are locked off permanently. For the most part, you can tackle quests in any order you like, but once you hit Act 3 doing some quests too early and others too late will remove content or get characters killed, and in Act 1 too many long rests before completing questlines will result in you failing them. The latter is exacerbated by the fact that in later Acts you're encouraged to take a lot of long rests, so mixed messages. - The dice rolls can interfere with roleplay, e.g. if you have a character who would be able to charm their way out of anything but is instead constantly forced by the game to make a fool out of themselves by rolling low on charisma checks. - I wish there was more variety in the items you can find in barrels, bags, on corpses, etc. It's pretty much just endless rotten food or miscellaneous dishes and cutlery, which you can't use or even sell for gold, and it's eventually just not worth it to keep checking everything."
whizzer17,80,I finished the game even though it was difficult. 7 points because I liked the story very much. I wish the style of the game was different.
Digo2011VIP,100,"Parabéns, é o melhor jogo que existe dentro do possível planeta em que vivemos."
PandaBass,100,"After get familiar with the combat the game becomes such a heavy hitter. The dialogue is ridiculously fun, the world and lore are fantastic & the various storylines all work really well. The game really **** you into it. Probably the best game I have played in the last 10 years"
zcbtcts,100,The pinnacle of RPG and the only shortcoming is the writing relative to its predecessors. A timeless masterpiece and easily one of the best games ever created.
zell64,90,"It has been the best RPG, not only DnD but in general for a long time. Best fantasy experience of the decade."
TheProphet334,100,I don't have much to say I generally dislike turn-based games but this one feels completely different. The Choices are really good the characters and story is top notch and after hearing what the dev Sven said in the game awards 2024 this game truly captures what gaming is about and the possibilities it has.
NianB_08,100,una delle migliori esperienze rpg degli ultimi anni e no e con quel tocco di DD che piace sempre. 10/10
Tomatosalt,100,"Larian Studios is getting more and more aspirational, and as a rare case their quality keeps up. This game has been praised loud and wide for its scope, world, characters, music and everything else and I will join the chorus on that. One of the best games of all time."
z33b33,100,Work of pure art. RPG masterpiece for ages. There are not enough words yo describe. A must play.
OrinO551,100,The best game I’ve played in years. Have done multiple play throughs and I’m still finding new things in the game.
Cdogttv,90,"I am about 9 hours in and I have nothing but LOVE for this game. I remember talking to a friend and telling him it would be amazing if Divinity 2 had more DnD aspects to it then Larian Studios was like “hold my beer I gotchu fam” and here we are! Graphics are stunning, Cut scenes are awesome (a big buggy right now but most glitches are funny)Yes it has bugs, some are more annoying than others, and some are just down right hilarious fun, but again its early access. However I will remark that this is a more polished early access experience than Divinity 2 that is for SURE.Play with your friends, die with your friends, Make sure you don’t look that easy looking chest only to blow up a second later because it was booby-trapped! Save often and have lots of fun."
